day,tp,primeTank,bleachTank,trt,nubid,genet,trt_genet,cells,chl,chlpcell,prot,protpcell,fvfm,dhd,dhw
3,1,1,0,C,C26,C,C_C,4128903,2.35,5.69,0.296,0.072,0.558,0.494,0.071
3,1,1,0,C,D20,D,C_D,3895559,2.034,5.22,0.377,0.097,0.545,0.494,0.071
3,1,1,0,C,E34,E,C_E,3241164,2.041,6.3,0.41,0.126,0.549,0.494,0.071
3,1,1,0,C,F01,F,C_F,2980924,1.692,5.68,0.667,0.224,0.503,0.494,0.071
3,1,1,0,C,G15,G,C_G,3939606,2.102,5.34,0.258,0.066,0.572,0.494,0.071
3,1,1,0,C,H09,H,C_H,3389809,1.968,5.81,0.345,0.102,0.508,0.494,0.071
3,1,1,0,C,I07,I,C_I,3618250,2.174,6.01,0.228,0.063,0.529,0.494,0.071
3,1,1,0,C,J23,J,C_J,2778406,1.735,6.24,0.527,0.19,0.522,0.494,0.071
3,1,2,0,N,C27,C,N_C,3813220,1.866,4.89,0.247,0.065,0.63,0.494,0.071
3,1,2,0,N,D05,D,N_D,3393577,2.029,5.98,0.207,0.061,0.602,0.494,0.071
3,1,2,0,N,E05,E,N_E,3336725,2.208,6.62,0.211,0.063,0.593,0.494,0.071
3,1,2,0,N,F14,F,N_F,2932385,2.044,6.97,0.249,0.085,0.588,0.494,0.071
3,1,2,0,N,G11,G,N_G,3655548,2.015,5.51,0.328,0.09,0.602,0.494,0.071
3,1,2,0,N,H07,H,N_H,3795091,2.415,6.36,0.243,0.064,0.604,0.494,0.071
3,1,2,0,N,I04,I,N_I,3183577,1.698,5.33,0.241,0.076,0.501,0.494,0.071
3,1,2,0,N,J19,J,N_J,3076886,2.236,7.27,0.29,0.094,0.559,0.494,0.071
3,1,3,0,LL,C03,C,LL_C,4355967,2.286,5.25,0.163,0.037,0.555,2.313,0.33
3,1,3,0,LL,D36,D,LL_D,3108974,2.149,6.91,0.255,0.082,0.639,2.313,0.33
3,1,3,0,LL,E06,E,LL_E,3281303,2.074,6.32,0.238,0.072,0.555,2.313,0.33
3,1,3,0,LL,F17,F,LL_F,3042174,2.149,7.06,0.278,0.091,0.511,2.313,0.33
3,1,3,0,LL,G26,G,LL_G,3403454,2.073,6.09,0.188,0.055,0.564,2.313,0.33
3,1,3,0,LL,H01,H,LL_H,3283574,2.167,6.6,0.206,0.063,0.551,2.313,0.33
3,1,3,0,LL,I30,I,LL_I,3623485,1.702,4.7,0.381,0.105,0.478,2.313,0.33
3,1,3,0,LL,J15,J,LL_J,2915871,1.676,5.75,0.22,0.076,0.55,2.313,0.33
3,1,4,0,LH,C15,C,LH_C,3482264,2.13,6.12,0.221,0.063,0.537,5.114,0.731
3,1,4,0,LH,D25,D,LH_D,2194006,1.572,7.16,0.329,0.15,0.54,5.114,0.731
3,1,4,0,LH,E24,E,LH_E,3080969,1.939,6.29,0.466,0.151,0.559,5.114,0.731
3,1,4,0,LH,F08,F,LH_F,3193457,2.106,6.6,0.205,0.064,0.54,5.114,0.731
3,1,4,0,LH,G08,G,LH_G,3340878,2.321,6.95,0.268,0.08,0.579,5.114,0.731
3,1,4,0,LH,H15,H,LH_H,3179857,2.254,7.09,0.217,0.068,0.523,5.114,0.731
3,1,4,0,LH,I05,I,LH_I,2786155,1.828,6.56,0.2,0.072,0.475,5.114,0.731
3,1,4,0,LH,J26,J,LH_J,2867838,1.362,4.75,0.292,0.102,0.556,5.114,0.731
3,1,5,0,HL,C22,C,HL_C,3837625,1.88,4.9,0.222,0.058,0.594,4.446,0.635
3,1,5,0,HL,D1Y,D,HL_D,2617921,1.219,4.66,0.31,0.118,0.529,4.446,0.635
3,1,5,0,HL,E4W,E,HL_E,3243040,1.717,5.29,0.413,0.127,0.549,4.446,0.635
3,1,5,0,HL,F25,F,HL_F,2185346,1.154,5.28,0.325,0.149,0.564,4.446,0.635
3,1,5,0,HL,G06,G,HL_G,3407601,1.607,4.71,0.443,0.13,0.597,4.446,0.635
3,1,5,0,HL,H08,H,HL_H,2754255,1.525,5.54,0.258,0.094,0.503,4.446,0.635
3,1,5,0,HL,I35,I,HL_I,2449268,1.483,6.05,0.239,0.098,0.466,4.446,0.635
3,1,5,0,HL,J17,J,HL_J,3188695,1.557,4.88,0.335,0.105,0.565,4.446,0.635
3,1,6,0,HH,C20,C,HH_C,2789146,2.112,7.57,0.323,0.116,0.572,9.26,1.323
3,1,6,0,HH,D16,D,HH_D,1593970,0.734,4.61,0.423,0.265,0.582,9.26,1.323
3,1,6,0,HH,E26,E,HH_E,2943593,2.37,8.05,0.293,0.1,0.562,9.26,1.323
3,1,6,0,HH,F06,F,HH_F,1439898,1.151,8,0.372,0.258,0.562,9.26,1.323
3,1,6,0,HH,G17,G,HH_G,1630589,0.851,5.22,0.396,0.243,0.548,9.26,1.323
3,1,6,0,HH,H29,H,HH_H,2183728,1.453,6.65,0.245,0.112,0.53,9.26,1.323
3,1,6,0,HH,I40,I,HH_I,2701056,1.759,6.51,0.27,0.1,0.475,9.26,1.323
3,1,6,0,HH,J27,J,HH_J,1772318,1.169,6.6,0.269,0.152,0.575,9.26,1.323
11,2,1,0,C,C19,C,C_C,4124843,5.077,12.31,0.287,0.07,0.555,0.494,0.071
11,2,1,0,C,D26,D,C_D,2957593,4.01,13.56,0.596,0.202,0.563,0.494,0.071
11,2,1,0,C,E17,E,C_E,2992032,4.75,15.87,0.295,0.099,0.576,0.494,0.071
11,2,1,0,C,F16,F,C_F,3341008,5.496,16.45,0.346,0.104,0.598,0.494,0.071
11,2,1,0,C,G18,G,C_G,3275103,4.603,14.05,0.329,0.1,0.605,0.494,0.071
11,2,1,0,C,H03,H,C_H,3753275,5.25,13.99,0.258,0.069,0.571,0.494,0.071
11,2,1,0,C,I16,I,C_I,2224612,3.559,16,0.279,0.126,0.493,0.494,0.071
11,2,1,0,C,J06,J,C_J,3335924,3.063,9.18,0.267,0.08,0.594,0.494,0.071
11,2,2,0,N,C21,C,N_C,3780459,5.731,15.16,0.342,0.09,0.552,0.494,0.071
11,2,2,0,N,D07,D,N_D,2790183,5.219,18.71,0.339,0.121,0.544,0.494,0.071
11,2,2,0,N,E20,E,N_E,2989244,4.729,15.82,0.252,0.084,0.564,0.494,0.071
11,2,2,0,N,F24,F,N_F,1892550,3.37,17.8,0.63,0.333,0.59,0.494,0.071
11,2,2,0,N,G31,G,N_G,3084819,4.741,15.37,0.371,0.12,0.568,0.494,0.071
11,2,2,0,N,H25,H,N_H,3399854,5.674,16.69,0.383,0.113,0.55,0.494,0.071
11,2,2,0,N,I28,I,N_I,3242060,4.781,14.75,0.333,0.103,0.44,0.494,0.071
11,2,2,0,N,J09,J,N_J,2908198,5.479,18.84,0.221,0.076,0.567,0.494,0.071
11,2,3,0,LL,C08,C,LL_C,2917144,4.353,14.92,0.227,0.078,0.582,2.313,0.33
11,2,3,0,LL,D23,D,LL_D,2725837,5.003,18.36,0.209,0.077,0.556,2.313,0.33
11,2,3,0,LL,E08,E,LL_E,3112674,3.714,11.93,0.169,0.054,0.551,2.313,0.33
11,2,3,0,LL,F04,F,LL_F,2876937,4.131,14.36,0.324,0.113,0.592,2.313,0.33
11,2,3,0,LL,G01,G,LL_G,2746038,4.36,15.88,0.361,0.131,0.599,2.313,0.33
11,2,3,0,LL,H13,H,LL_H,2814501,5.116,18.18,0.289,0.103,0.546,2.313,0.33
11,2,3,0,LL,I10,I,LL_I,2477388,4.537,18.31,0.324,0.131,0.497,2.313,0.33
11,2,3,0,LL,J31,J,LL_J,2829975,4.818,17.02,0.217,0.077,0.575,2.313,0.33
11,2,4,0,LH,C10,C,LH_C,4555470,6.252,13.72,0.255,0.056,0.597,5.114,0.731
11,2,4,0,LH,D21,D,LH_D,2846592,5.179,18.19,0.23,0.081,0.603,5.114,0.731
11,2,4,0,LH,E30,E,LH_E,3704323,7.628,20.59,0.252,0.068,0.575,5.114,0.731
11,2,4,0,LH,F09,F,LH_F,3077297,6.048,19.65,0.435,0.141,0.604,5.114,0.731
11,2,4,0,LH,G27,G,LH_G,3460548,4.301,12.43,0.358,0.103,0.622,5.114,0.731
11,2,4,0,LH,H27,H,LH_H,2790958,4.13,14.8,0.314,0.112,0.551,5.114,0.731
11,2,4,0,LH,I06,I,LH_I,2927592,3.134,10.7,0.295,0.101,0.517,5.114,0.731
11,2,4,0,LH,J29,J,LH_J,2619671,3.918,14.96,0.338,0.129,0.582,5.114,0.731
11,2,5,0,HL,C30,C,HL_C,4298013,6.297,14.65,0.26,0.06,0.6,4.446,0.635
11,2,5,0,HL,D1W,D,HL_D,2706909,5.332,19.7,0.208,0.077,0.554,4.446,0.635
11,2,5,0,HL,E29,E,HL_E,3248350,6.173,19,0.238,0.073,0.547,4.446,0.635
11,2,5,0,HL,F32,F,HL_F,2447103,5.616,22.95,0.217,0.089,0.601,4.446,0.635
11,2,5,0,HL,G25,G,HL_G,1715952,2.751,16.03,0.379,0.221,0.587,4.446,0.635
11,2,5,0,HL,H26,H,HL_H,3214584,7,21.77,0.184,0.057,0.559,4.446,0.635
11,2,5,0,HL,I29,I,HL_I,1775338,4.457,25.1,0.437,0.246,0.469,4.446,0.635
11,2,5,0,HL,J13,J,HL_J,527041,0.908,17.24,0.246,0.467,0.553,4.446,0.635
11,2,6,0,HH,C34,C,HH_C,3924978,5.957,15.18,0.386,0.098,0.575,9.26,1.323
11,2,6,0,HH,D13,D,HH_D,2166127,2.573,11.88,0.341,0.157,0.547,9.26,1.323
11,2,6,0,HH,E25,E,HH_E,3177276,6.092,19.17,0.339,0.107,0.599,9.26,1.323
11,2,6,0,HH,F10,F,HH_F,0,0,0,0,0,0,9.26,1.323
11,2,6,0,HH,G33,G,HH_G,7740,0.621,802.85,0.335,43.288,0,9.26,1.323
11,2,6,0,HH,H31,H,HH_H,8747,0.467,533.48,0.209,23.891,0.542,9.26,1.323
11,2,6,0,HH,I15,I,HH_I,1737845,3.888,22.37,0.331,0.19,0.509,9.26,1.323
11,2,6,0,HH,J10,J,HH_J,27273,0.582,213.26,0.235,8.599,0,9.26,1.323
12,3,2,4,C,C36,C,C_C,5042931,5.577,11.06,0.234,0.046,0.587,0.494,0.071
12,3,2,4,C,D12,D,C_D,2811737,3.455,12.29,0.36,0.128,0.502,0.494,0.071
12,3,2,4,C,E10,E,C_E,3437749,5.487,15.96,0.281,0.082,0.56,0.494,0.071
12,3,1,4,C,F22,F,C_F,3444431,5.715,16.59,0.428,0.124,0.522,0.494,0.071
12,3,1,4,C,G28,G,C_G,2738613,5.124,18.71,0.389,0.142,0.528,0.494,0.071
12,3,2,4,C,H11,H,C_H,3315757,5.147,15.52,0.236,0.071,0.542,0.494,0.071
12,3,2,4,C,I09,I,C_I,3081483,4.997,16.22,0.452,0.147,0.478,0.494,0.071
12,3,1,4,C,J14,J,C_J,3069671,4.55,14.82,0.263,0.086,0.563,0.494,0.071
12,3,1,3,N,C4W,C,N_C,3908828,4.401,11.26,0.195,0.05,0.566,2.234,0.319
12,3,1,6,N,D04,D,N_D,1077297,2.482,23.04,0.214,0.199,0.467,2.181,0.312
12,3,1,6,N,E28,E,N_E,1078827,2.017,18.69,0.181,0.168,0.513,2.181,0.312
12,3,2,6,N,F23,F,N_F,1657089,3.859,23.29,0.517,0.312,0.567,2.182,0.312
12,3,2,3,N,G09,G,N_G,2492298,4.2,16.85,0.19,0.076,0.553,2.234,0.319
12,3,1,3,N,H17,H,N_H,1781862,3.586,20.12,0.283,0.159,0.47,2.234,0.319
12,3,1,2,N,I25,I,N_I,2701722,4.74,17.54,0.479,0.177,0.389,2.359,0.337
12,3,2,6,N,J18,J,N_J,1735685,3.24,18.67,0.257,0.148,0.456,2.182,0.312
12,3,3,5,LL,C13,C,LL_C,3277279,4.327,13.2,0.25,0.076,0.576,4.07,0.581
12,3,3,1,LL,D08,D,LL_D,2520208,4.116,16.33,0.313,0.124,0.503,3.993,0.57
12,3,3,2,LL,E35,E,LL_E,2334749,4.193,17.96,0.384,0.165,0.524,4.178,0.597
12,3,3,1,LL,F11,F,LL_F,2660432,3.639,13.68,0.396,0.149,0.573,3.993,0.57
