day,trt,n,mean,mean_adj,median,median_adj,iqr,sd,se,ci
10,C,8,4.48,2.01,4.68,2.04,1.22,0.86,0.3,0.72
10,N,8,4.97,2.06,5,2.04,0.79,0.77,0.27,0.64
10,LL,8,4.5,2.03,4.45,2.11,0.57,0.47,0.17,0.39
10,LH,8,5.07,1.94,4.74,2.02,2.02,1.49,0.53,1.24
10,HL,8,4.82,1.52,5.47,1.54,2.17,2.05,0.72,1.71
10,HH,8,2.52,1.45,1.6,1.31,3.85,2.52,0.89,2.1
11,C,8,5.01,1.53,5.14,1.58,0.62,0.73,0.26,0.61
11,N,8,3.57,3.43,3.72,3.39,1.2,0.94,0.33,0.79
11,LL,8,3.72,2.73,4.04,2.44,0.59,0.99,0.35,0.83
11,LH,8,3.8,2.79,4.02,2.26,1.18,1.36,0.48,1.14
11,HL,8,4.21,2.06,4.1,2.69,0.74,0.61,0.22,0.51
11,HH,8,2.67,4.33,2.97,3.31,4.34,2.49,0.88,2.08
