sampleID,genet,day,trt,trt_genet,fvfm
C27,C,0,C,C_C,
D05,D,0,C,C_D,
E05,E,0,C,C_E,
F14,F,0,C,C_F,
G11,G,0,C,C_G,
H07,H,0,C,C_H,
I04,I,0,C,C_I,
J19,J,0,C,C_J,
C20,C,0,HH,HH_C,0.744
D16,D,0,HH,HH_D,0.668
E26,E,0,HH,HH_E,0.717
F06,F,0,HH,HH_F,0.712
G17,G,0,HH,HH_G,0.738
H29,H,0,HH,HH_H,0.686
I40,I,0,HH,HH_I,0.673
J27,J,0,HH,HH_J,0.716
C,C,0,HL,HL_C,
D,D,0,HL,HL_D,
E,E,0,HL,HL_E,
F,F,0,HL,HL_F,
G,G,0,HL,HL_G,
H,H,0,HL,HL_H,
I,I,0,HL,HL_I,
J,J,0,HL,HL_J,
C15,C,0,LH,LH_C,0.726
D25,D,0,LH,LH_D,0.712
E24,E,0,LH,LH_E,0.707
F08,F,0,LH,LH_F,0.730
G08,G,0,LH,LH_G,0.731
H15,H,0,LH,LH_H,0.697
I05,I,0,LH,LH_I,0.674
J26,J,0,LH,LH_J,0.733
C,C,0,LL,LL_C,
D,D,0,LL,LL_D,
E,E,0,LL,LL_E,
F,F,0,LL,LL_F,
G,G,0,LL,LL_G,
H,H,0,LL,LL_H,
I,I,0,LL,LL_I,
J,J,0,LL,LL_J,
C27,C,0,U,U_C,0.718
D05,D,0,U,U_D,0.728
E05,E,0,U,U_E,0.723
F14,F,0,U,U_F,0.696
G11,G,0,U,U_G,0.725
H07,H,0,U,U_H,0.707
I04,I,0,U,U_I,0.702
J19,J,0,U,U_J,0.703
C4W,C,1,C,C_C,0.61
D04,D,1,C,C_D,0.552
E28,E,1,C,C_E,0.608
F22,F,1,C,C_F,0.621
G10,G,1,C,C_G,0.636
H24,H,1,C,C_H,0.564
I25,I,1,C,C_I,0.423
J05,J,1,C,C_J,0.58
C28,C,1,HH,HH_C,0.627
D09,D,1,HH,HH_D,0.588
E3W,E,1,HH,HH_E,0.597
F15,F,1,HH,HH_F,0.614
G32,G,1,HH,HH_G,0.608
H32,H,1,HH,HH_H,0.572
I37,I,1,HH,HH_I,0.422
J24,J,1,HH,HH_J,0.562
C33,C,1,HL,HL_C,0.626
D27,D,1,HL,HL_D,0.638
E27,E,1,HL,HL_E,0.642
F26,F,1,HL,HL_F,0.648
G07,G,1,HL,HL_G,0.648
H33,H,1,HL,HL_H,0.583
I1Y,I,1,HL,HL_I,0.496
J11,J,1,HL,HL_J,0.61
C09,C,1,LH,LH_C,0.612
